nico,word,freq,total,user,word,freq,total,NicoFreqUserWords,NicoTotalWords,,
p1,three,20,614,p1,multiply,12,164,10,164,-0.02840232,-0.183145309
p1,two,17,614,p1,ten,10,164,0,0,0,
p1,think,16,614,p1,three,10,164,0,0,0,
p1,five,15,614,p1,get,6,164,4,164,-3.97235E-05,
p1,multiply,15,614,p1,hundred,6,164,12,164,-0.048740764,
p1,one,14,614,p1,seven,5,164,5,164,-0.007686502,
p1,put,12,614,p1,divide,5,164,0,0,0,
p1,times,12,614,p1,point,5,164,0,0,0,
p1,get,12,614,p1,find,5,164,6,164,-0.017041392,
p1,okay,11,614,p1,one,5,164,0,0,0,
p1,bags,11,614,p1,yes,4,164,0,0,0,
p1,answer,11,614,p1,six,4,164,0,0,0,
p1,hundred,10,614,p1,'re,4,164,6,164,-0.020298721,
p1,'s,10,614,p1,eminem's,4,164,0,0,0,
p1,``,9,614,p1,five,4,164,0,0,0,
p1,'',9,614,p1,total,3,164,0,0,0,
p1,'m,9,614,p1,ratio,3,164,0,0,0,
p1,six,8,614,p1,distance,3,164,4,164,-0.011360928,
p1,miles,8,614,p1,multiplying,2,164,0,0,0,
p1,problem,8,614,p1,yeah,2,164,0,0,0,
p1,need,8,614,p1,surface,2,164,0,0,0,
p1,help,7,614,p1,four,2,164,0,0,0,
p1,ten,7,614,p1,area,2,164,10,164,-0.049574958,
p1,step,7,614,p1,going,2,164,0,0,0,
p1,paint,7,614,p1,equivalent,2,164,0,0,0,
p10,two,32,915,p10,blank,31,355,14,355,,
p10,think,23,915,p10,one,30,355,#N/A,#N/A,,
p10,three,23,915,p10,times,30,355,#N/A,#N/A,,
p10,one,19,915,p10,six,25,355,8,355,,
p10,times,18,915,p10,equals,25,355,#N/A,#N/A,,
p10,answer,18,915,p10,three,21,355,21,355,,
p10,'m,18,915,p10,ten,14,355,30,355,,
p10,five,17,915,p10,five,14,355,30,355,,
p10,get,17,915,p10,hundred,12,355,6,355,,
p10,put,15,915,p10,divided,10,355,#N/A,#N/A,,
p10,great,15,915,p10,two,8,355,14,355,,
p10,sweet,15,915,p10,spot,8,355,4,355,,
p10,step,14,915,p10,point,7,355,#N/A,#N/A,,
p10,point,14,915,p10,yes,7,355,#N/A,#N/A,,
p10,figure,13,915,p10,find,7,355,#N/A,#N/A,,
p10,twenty,12,915,p10,would,7,355,#N/A,#N/A,,
p10,``,12,915,p10,answer,6,355,7,355,,
p10,'',12,915,p10,eighty,6,355,#N/A,#N/A,,
p10,okay,12,915,p10,equal,6,355,#N/A,#N/A,,
p10,multiply,12,915,p10,seven,5,355,#N/A,#N/A,,
p10,know,11,915,p10,need,5,355,#N/A,#N/A,,
p10,hundred,11,915,p10,twelve,4,355,#N/A,#N/A,,
p10,problem,11,915,p10,get,4,355,#N/A,#N/A,,
p10,go,10,915,p10,four,3,355,#N/A,#N/A,,
p10,like,10,915,p10,fifty,3,355,12,355,,
p11,two,25,701,p11,one,8,150,5,150,,
p11,think,15,701,p11,multiply,8,150,6,150,,
p11,three,15,701,p11,three,7,150,#N/A,#N/A,,
p11,one,13,701,p11,next,7,150,#N/A,#N/A,,
p11,``,13,701,p11,times,6,150,#N/A,#N/A,,
p11,'',13,701,p11,step,6,150,7,150,,
p11,times,12,701,p11,problem,6,150,8,150,,
p11,answer,12,701,p11,yes,5,150,6,150,,
p11,'s,11,701,p11,ten,5,150,4,150,,
p11,get,11,701,p11,get,5,150,2,150,,
p11,put,11,701,p11,four,4,150,#N/A,#N/A,,
p11,figure,11,701,p11,answer,4,150,5,150,,
p11,okay,11,701,p11,figure,3,150,#N/A,#N/A,,
p11,multiply,11,701,p11,go,3,150,#N/A,#N/A,,
p11,help,10,701,p11,correct,3,150,#N/A,#N/A,,
p11,step,10,701,p11,'s,3,150,6,150,,
p11,problem,10,701,p11,first,3,150,#N/A,#N/A,,
p11,need,10,701,p11,twelve,2,150,3,150,,
p11,'m,10,701,p11,seven,2,150,#N/A,#N/A,,
p11,great,9,701,p11,six,2,150,#N/A,#N/A,,
p11,twenty,9,701,p11,going,2,150,#N/A,#N/A,,
p11,awesome,9,701,p11,hundred,2,150,#N/A,#N/A,,
p11,point,8,701,p11,time,2,150,8,150,,
p11,hundred,8,701,p11,gen,2,150,#N/A,#N/A,,
p11,seven,8,701,p11,'m,2,150,2,150,,
p12,think,37,794,p12,times,36,262,9,262,,
p12,need,29,794,p12,'s,31,262,#N/A,#N/A,,
p12,two,27,794,p12,yes,18,262,#N/A,#N/A,,
p12,know,26,794,p12,one,17,262,6,262,,
p12,five,25,794,p12,six,16,262,#N/A,#N/A,,
p12,times,22,794,p12,three,12,262,12,262,,
p12,differently,21,794,p12,five,10,262,17,262,,
p12,might,21,794,p12,ten,9,262,36,262,,
p12,ask,21,794,p12,divided,9,262,7,262,,
p12,answer,21,794,p12,thirty,9,262,#N/A,#N/A,,
p12,six,20,794,p12,point,8,262,10,262,,
p12,put,18,794,p12,seven,7,262,3,262,,
p12,three,18,794,p12,answer,7,262,#N/A,#N/A,,
p12,multiply,17,794,p12,eight,7,262,#N/A,#N/A,,
p12,one,16,794,p12,hundred,6,262,#N/A,#N/A,,
p12,okay,14,794,p12,two,6,262,#N/A,#N/A,,
p12,hundred,14,794,p12,twenty,5,262,8,262,,
p12,point,13,794,p12,four,4,262,#N/A,#N/A,,
p12,figure,13,794,p12,nine,4,262,5,262,,
p12,``,11,794,p12,blank,3,262,#N/A,#N/A,,
p12,'',11,794,p12,get,3,262,#N/A,#N/A,,
p12,step,10,794,p12,equals,3,262,#N/A,#N/A,,
p12,ten,9,794,p12,part,3,262,2,262,,
p12,twenty,9,794,p12,know,2,262,2,262,,
p12,bags,9,794,p12,multiply,2,262,6,262,,
p13,think,24,948,p13,multiply,20,263,18,263,,
p13,answer,22,948,p13,ten,18,263,#N/A,#N/A,,
p13,multiply,22,948,p13,one,17,263,#N/A,#N/A,,
p13,three,21,948,p13,six,13,263,4,263,,
p13,'s,20,948,p13,going,13,263,#N/A,#N/A,,
p13,two,20,948,p13,answer,13,263,9,263,,
p13,five,18,948,p13,five,12,263,17,263,,
p13,put,17,948,p13,'re,11,263,5,263,,
p13,get,16,948,p13,divide,9,263,13,263,,
p13,times,16,948,p13,yes,9,263,#N/A,#N/A,,
p13,figure,16,948,p13,three,9,263,12,263,,
p13,okay,16,948,p13,hundred,9,263,8,263,,
p13,one,15,948,p13,correct,8,263,#N/A,#N/A,,
p13,'m,15,948,p13,get,8,263,#N/A,#N/A,,
p13,twenty,14,948,p13,point,7,263,#N/A,#N/A,,
p13,point,13,948,p13,eight,7,263,#N/A,#N/A,,
p13,``,13,948,p13,seven,6,263,7,263,,
p13,'',13,948,p13,four,5,263,#N/A,#N/A,,
p13,hundred,12,948,p13,times,5,263,3,263,,
p13,sweet,11,948,p13,divided,4,263,#N/A,#N/A,,
p13,help,10,948,p13,nico,4,263,#N/A,#N/A,,
p13,step,10,948,p13,two,4,263,#N/A,#N/A,,
p13,today,10,948,p13,twenty,3,263,20,263,,
p13,seven,10,948,p13,nineteen,3,263,#N/A,#N/A,,
p13,awesome,10,948,p13,number,2,263,9,263,,
p14,three,22,660,p14,one,21,255,,,,
p14,two,21,660,p14,six,14,255,,,,
p14,five,14,660,p14,ten,12,255,,,,
p14,step,14,660,p14,three,10,255,,,,
p14,times,13,660,p14,yes,10,255,,,,
p14,one,13,660,p14,'s,9,255,,,,
p14,need,13,660,p14,equals,9,255,,,,
p14,think,12,660,p14,twelve,8,255,,,,
p14,okay,12,660,p14,area,8,255,,,,
p14,put,11,660,p14,five,8,255,,,,
p14,great,11,660,p14,hundred,8,255,,,,
p14,'s,10,660,p14,times,8,255,,,,
p14,get,10,660,p14,bag,8,255,,,,
p14,sweet,10,660,p14,surface,7,255,,,,
p14,paint,10,660,p14,volume,7,255,,,,
p14,figure,10,660,p14,eminem,7,255,,,,
p14,answer,10,660,p14,two,6,255,,,,
p14,``,9,660,p14,paint,5,255,,,,
p14,'',9,660,p14,hours,5,255,,,,
p14,six,9,660,p14,miles,5,255,,,,
p14,multiply,9,660,p14,half,4,255,,,,
p14,'m,9,660,p14,thirty,3,255,,,,
p14,miles,8,660,p14,feet,3,255,,,,
p14,much,8,660,p14,go,3,255,,,,
p14,torso,8,660,p14,bags,3,255,,,,
p15,three,19,465,p15,would,18,268,,,,
p15,one,18,465,p15,one,16,268,,,,
p15,two,17,465,p15,ten,15,268,,,,
p15,five,15,465,p15,six,15,268,,,,
p15,answer,13,465,p15,yes,14,268,,,,
p15,put,12,465,p15,five,14,268,,,,
p15,times,12,465,p15,two,11,268,,,,
p15,think,12,465,p15,point,10,268,,,,
p15,six,11,465,p15,times,9,268,,,,
p15,okay,11,465,p15,equals,8,268,,,,
p15,multiply,11,465,p15,seven,7,268,,,,
p15,ten,9,465,p15,twelve,6,268,,,,
p15,get,9,465,p15,divided,6,268,,,,
p15,need,9,465,p15,hundred,6,268,,,,
p15,paint,8,465,p15,paint,5,268,,,,
p15,hundred,8,465,p15,got,5,268,,,,
p15,step,7,465,p15,'s,5,268,,,,
p15,help,6,465,p15,volume,5,268,,,,
p15,explain,6,465,p15,twenty,4,268,,,,
p15,miles,6,465,p15,like,4,268,,,,
p15,figure,6,465,p15,thirty,4,268,,,,
p15,twelve,5,465,p15,n't,4,268,,,,
p15,seven,5,465,p15,three,4,268,,,,
p15,give,5,465,p15,put,3,268,,,,
p15,``,5,465,p15,use,3,268,,,,
p16,answer,24,704,p16,one,30,490,,,,
p16,two,20,704,p16,ten,28,490,,,,
p16,put,19,704,p16,plus,24,490,,,,
p16,three,19,704,p16,five,22,490,,,,
p16,step,18,704,p16,equals,20,490,,,,
p16,figure,18,704,p16,hundred,19,490,,,,
p16,think,17,704,p16,times,14,490,,,,
p16,five,15,704,p16,twenty,13,490,,,,
p16,one,15,704,p16,three,13,490,,,,
p16,okay,15,704,p16,answer,12,490,,,,
p16,need,14,704,p16,add,11,490,,,,
p16,times,12,704,p16,get,9,490,,,,
p16,know,11,704,p16,two,9,490,,,,
p16,twenty,11,704,p16,nico,9,490,,,,
p16,'s,10,704,p16,fifty,8,490,,,,
p16,hundred,10,704,p16,like,8,490,,,,
p16,help,9,704,p16,seven,8,490,,,,
p16,explain,9,704,p16,yes,7,490,,,,
p16,next,9,704,p16,six,7,490,,,,
p16,problem,9,704,p16,thirty,6,490,,,,
p16,bags,9,704,p16,okay,5,490,,,,
p16,go,8,704,p16,point,5,490,,,,
p16,get,8,704,p16,number,5,490,,,,
p16,'m,8,704,p16,would,5,490,,,,
p16,paint,7,704,p16,sure,5,490,,,,
p17,three,23,685,p17,multiply,15,248,,,,
p17,two,20,685,p17,amount,14,248,,,,
p17,need,17,685,p17,yes,11,248,,,,
p17,paint,16,685,p17,eminem,11,248,,,,
p17,figure,16,685,p17,'s,10,248,,,,
p17,think,15,685,p17,total,9,248,,,,
p17,okay,15,685,p17,three,8,248,,,,
p17,multiply,15,685,p17,paint,8,248,,,,
p17,five,14,685,p17,five,8,248,,,,
p17,put,14,685,p17,surface,7,248,,,,
p17,times,14,685,p17,area,7,248,,,,
p17,answer,14,685,p17,six,7,248,,,,
p17,one,13,685,p17,volume,7,248,,,,
p17,much,12,685,p17,ten,6,248,,,,
p17,``,12,685,p17,times,6,248,,,,
p17,'',12,685,p17,feet,5,248,,,,
p17,'s,10,685,p17,much,5,248,,,,
p17,great,10,685,p17,get,5,248,,,,
p17,get,9,685,p17,double,5,248,,,,
p17,point,9,685,p17,miles,5,248,,,,
p17,sweet,9,685,p17,seven,4,248,,,,
p17,feet,9,685,p17,divide,4,248,,,,
p17,twenty,9,685,p17,bags,4,248,,,,
p17,bags,9,685,p17,hundred,4,248,,,,
p17,hundred,8,685,p17,one,4,248,,,,
p18,think,14,536,p18,six,16,231,,,,
p18,one,14,536,p18,one,16,231,,,,
p18,three,14,536,p18,ten,14,231,,,,
p18,two,13,536,p18,three,14,231,,,,
p18,'m,12,536,p18,know,13,231,,,,
p18,get,11,536,p18,two,8,231,,,,
p18,miles,10,536,p18,times,8,231,,,,
p18,step,10,536,p18,equals,7,231,,,,
p18,put,10,536,p18,look,7,231,,,,
p18,great,10,536,p18,thirty,7,231,,,,
p18,figure,10,536,p18,paint,6,231,,,,
p18,answer,10,536,p18,hundred,6,231,,,,
p18,need,9,536,p18,multiply,6,231,,,,
p18,go,8,536,p18,yes,5,231,,,,
p18,really,8,536,p18,divided,5,231,,,,
p18,hours,8,536,p18,surface,4,231,,,,
p18,sweet,8,536,p18,area,4,231,,,,
p18,n't,8,536,p18,plus,4,231,,,,
p18,okay,8,536,p18,eminem,3,231,,,,
p18,multiply,8,536,p18,five,3,231,,,,
p18,'s,7,536,p18,twenty,3,231,,,,
p18,paint,7,536,p18,hours,3,231,,,,
p18,problem,7,536,p18,equal,3,231,,,,
p18,help,6,536,p18,value,3,231,,,,
p18,four,6,536,p18,hour,2,231,,,,
p19,two,21,572,p19,multiply,19,302,,,,
p19,think,15,572,p19,one,15,302,,,,
p19,five,13,572,p19,ten,12,302,,,,
p19,one,13,572,p19,five,11,302,,,,
p19,three,13,572,p19,hundred,11,302,,,,
p19,get,12,572,p19,figure,11,302,,,,
p19,put,12,572,p19,would,10,302,,,,
p19,answer,12,572,p19,yeah,8,302,,,,
p19,great,11,572,p19,times,8,302,,,,
p19,need,11,572,p19,need,8,302,,,,
p19,step,10,572,p19,six,8,302,,,,
p19,paint,10,572,p19,equals,7,302,,,,
p19,okay,10,572,p19,okay,6,302,,,,
p19,'s,9,572,p19,answer,6,302,,,,
p19,figure,9,572,p19,'s,6,302,,,,
p19,bags,9,572,p19,two,6,302,,,,
p19,multiply,9,572,p19,yes,5,302,,,,
p19,'m,9,572,p19,get,5,302,,,,
p19,miles,8,572,p19,see,5,302,,,,
p19,hundred,8,572,p19,first,5,302,,,,
p19,times,7,572,p19,eminem,4,302,,,,
p19,help,6,572,p19,twenty,4,302,,,,
p19,go,6,572,p19,much,4,302,,,,
p19,oh,6,572,p19,three,4,302,,,,
p19,sweet,6,572,p19,seven,4,302,,,,
p2,need,16,350,p2,six,13,225,,,,
p2,paint,14,350,p2,get,9,225,,,,
p2,two,12,350,p2,three,9,225,,,,
p2,put,9,350,p2,five,8,225,,,,
p2,think,9,350,p2,'s,7,225,,,,
p2,much,8,350,p2,one,6,225,,,,
p2,figure,8,350,p2,ten,6,225,,,,
p2,step,7,350,p2,give,6,225,,,,
p2,one,7,350,p2,know,5,225,,,,
p2,'m,7,350,p2,times,5,225,,,,
p2,help,6,350,p2,twenty,5,225,,,,
p2,first,6,350,p2,paint,5,225,,,,
p2,legs,6,350,p2,us,5,225,,,,
p2,answer,6,350,p2,figure,5,225,,,,
p2,okay,6,350,p2,saying,4,225,,,,
p2,``,5,350,p2,yes,4,225,,,,
p2,torso,5,350,p2,like,4,225,,,,
p2,'',5,350,p2,would,4,225,,,,
p2,sure,5,350,p2,divided,4,225,,,,
p2,though,5,350,p2,answer,4,225,,,,
p2,multiply,5,350,p2,multiply,4,225,,,,
p2,four,4,350,p2,right,3,225,,,,
p2,go,4,350,p2,equals,3,225,,,,
p2,hint,4,350,p2,put,3,225,,,,
p2,waterproof,4,350,p2,think,3,225,,,,
p20,two,25,484,p20,ten,38,468,,,,
p20,three,17,484,p20,one,35,468,,,,
p20,five,14,484,p20,three,28,468,,,,
p20,put,14,484,p20,get,21,468,,,,
p20,one,14,484,p20,equals,21,468,,,,
p20,answer,13,484,p20,point,17,468,,,,
p20,point,12,484,p20,times,16,468,,,,
p20,need,12,484,p20,hundred,16,468,,,,
p20,okay,11,484,p20,four,12,468,,,,
p20,ten,10,484,p20,five,12,468,,,,
p20,paint,10,484,p20,seven,11,468,,,,
p20,four,9,484,p20,yes,10,468,,,,
p20,times,9,484,p20,paint,10,468,,,,
p20,think,9,484,p20,miles,9,468,,,,
p20,figure,9,484,p20,two,9,468,,,,
p20,multiply,9,484,p20,much,8,468,,,,
p20,get,8,484,p20,know,7,468,,,,
p20,twenty,8,484,p20,inches,7,468,,,,
p20,seven,8,484,p20,hour,7,468,,,,
p20,guess,7,484,p20,six,7,468,,,,
p20,help,6,484,p20,answer,7,468,,,,
p20,step,6,484,p20,multiply,7,468,,,,
p20,bags,6,484,p20,every,5,468,,,,
p20,ratio,5,484,p20,seconds,5,468,,,,
p20,hundred,5,484,p20,many,5,468,,,,
p21,think,16,579,p21,'s,32,664,,,,
p21,two,16,579,p21,going,26,664,,,,
p21,three,13,579,p21,one,18,664,,,,
p21,answer,13,579,p21,get,15,664,,,,
p21,go,12,579,p21,six,15,664,,,,
p21,step,12,579,p21,five,14,664,,,,
p21,put,12,579,p21,'re,14,664,,,,
p21,figure,12,579,p21,go,12,664,,,,
p21,miles,11,579,p21,miles,11,664,,,,
p21,sweet,11,579,p21,three,11,664,,,,
p21,one,11,579,p21,know,10,664,,,,
p21,'m,10,579,p21,answer,9,664,,,,
p21,like,9,579,p21,like,9,664,,,,
p21,five,8,579,p21,ten,9,664,,,,
p21,really,8,579,p21,think,9,664,,,,
p21,great,8,579,p21,technically,9,664,,,,
p21,problem,8,579,p21,find,8,664,,,,
p21,six,8,579,p21,twenty,8,664,,,,
p21,get,7,579,p21,friends,8,664,,,,
p21,hours,7,579,p21,step,7,664,,,,
p21,``,7,579,p21,many,7,664,,,,
p21,'',7,579,p21,point,7,664,,,,
p21,need,7,579,p21,number,7,664,,,,
p21,okay,7,579,p21,destination,7,664,,,,
p21,'s,6,579,p21,way,7,664,,,,
p22,two,21,587,p22,equals,21,166,,,,
p22,three,19,587,p22,times,18,166,,,,
p22,times,15,587,p22,hundred,16,166,,,,
p22,think,15,587,p22,one,14,166,,,,
p22,answer,15,587,p22,five,11,166,,,,
p22,'m,13,587,p22,ten,8,166,,,,
p22,put,12,587,p22,yes,8,166,,,,
p22,one,11,587,p22,divided,7,166,,,,
p22,``,11,587,p22,six,7,166,,,,
p22,'',11,587,p22,two,7,166,,,,
p22,five,10,587,p22,twenty,6,166,,,,
p22,get,10,587,p22,three,6,166,,,,
p22,'s,9,587,p22,seven,4,166,,,,
p22,need,9,587,p22,fifty,4,166,,,,
p22,six,9,587,p22,seventy,4,166,,,,
p22,multiply,9,587,p22,point,3,166,,,,
p22,miles,8,587,p22,eight,3,166,,,,
p22,paint,8,587,p22,four,2,166,,,,
p22,figure,8,587,p22,2,2,166,,,,
p22,bags,7,587,p22,by2,2,166,,,,
p22,okay,7,587,p22,twelve,1,166,,,,
p22,right,6,587,p22,says,1,166,,,,
p22,step,6,587,p22,charles,1,166,,,,
p22,sweet,6,587,p22,paper,1,166,,,,
p22,hundred,6,587,p22,something,1,166,,,,
p23,think,22,778,p23,one,29,562,,,,
p23,two,21,778,p23,five,29,562,,,,
p23,one,20,778,p23,ten,20,562,,,,
p23,three,18,778,p23,'s,19,562,,,,
p23,'m,18,778,p23,hundred,19,562,,,,
p23,figure,17,778,p23,multiply,19,562,,,,
p23,hundred,15,778,p23,equals,15,562,,,,
p23,five,14,778,p23,three,15,562,,,,
p23,okay,14,778,p23,point,13,562,,,,
p23,help,13,778,p23,seven,13,562,,,,
p23,get,13,778,p23,two,13,562,,,,
p23,step,13,778,p23,times,11,562,,,,
p23,put,13,778,p23,must,11,562,,,,
p23,``,13,778,p23,get,10,562,,,,
p23,'',13,778,p23,eight,9,562,,,,
p23,answer,13,778,p23,bag,8,562,,,,
p23,multiply,13,778,p23,miles,8,562,,,,
p23,'s,12,778,p23,would,8,562,,,,
p23,waterproof,11,778,p23,means,8,562,,,,
p23,great,11,778,p23,okay,8,562,,,,
p23,times,11,778,p23,eminem,7,562,,,,
p23,need,11,778,p23,hour,7,562,,,,
p23,sweet,10,778,p23,'re,7,562,,,,
p23,bags,10,778,p23,ratio,6,562,,,,
p23,go,9,778,p23,twenty,6,562,,,,
p24,two,31,612,p24,one,40,570,,,,
p24,three,22,612,p24,three,40,570,,,,
p24,one,19,612,p24,ten,32,570,,,,
p24,okay,16,612,p24,times,31,570,,,,
p24,multiply,16,612,p24,multiply,23,570,,,,
p24,five,14,612,p24,four,21,570,,,,
p24,put,14,612,p24,equal,21,570,,,,
p24,times,14,612,p24,two,21,570,,,,
p24,answer,14,612,p24,five,20,570,,,,
p24,step,13,612,p24,point,20,570,,,,
p24,think,13,612,p24,hundred,20,570,,,,
p24,problem,12,612,p24,six,16,570,,,,
p24,need,12,612,p24,'s,16,570,,,,
p24,ten,11,612,p24,yes,15,570,,,,
p24,point,11,612,p24,get,12,570,,,,
p24,next,11,612,p24,twenty,12,570,,,,
p24,get,10,612,p24,seven,12,570,,,,
p24,'s,9,612,p24,equals,11,570,,,,
p24,seven,9,612,p24,step,10,570,,,,
p24,figure,9,612,p24,eminem,9,570,,,,
p24,know,8,612,p24,hour,8,570,,,,
p24,paint,8,612,p24,divided,8,570,,,,
p24,miles,8,612,p24,miles,6,570,,,,
p24,six,8,612,p24,twelve,6,570,,,,
p24,help,7,612,p24,thing,6,570,,,,
p25,two,36,560,p25,times,33,363,,,,
p25,answer,20,560,p25,one,31,363,,,,
p25,put,18,560,p25,give,24,363,,,,
p25,three,17,560,p25,five,17,363,,,,
